case_id,dataset_split,hazard,region_id,lead_time_hours,valid_start_time,valid_end_time,variable,aggregation,observation_source,pair_status,coverage_fraction,station_count,reason
20200725_00,independent_test,heavy_rain,SA-09,24,2020-07-25T00:00:00Z,2020-07-26T00:00:00Z,daily_precip_total,weighted_mean,IMERG,paired_accepted,1.0,,exact UTC daily window and coverage >= 0.95
20200725_00,independent_test,heavy_rain,SA-09,24,2020-07-25T00:00:00Z,2020-07-26T00:00:00Z,daily_precip_total,spatial_p95,IMERG,paired_accepted,1.0,,exact UTC daily window and coverage >= 0.95
20200725_00,independent_test,heavy_rain,SA-09,24,2020-07-25T00:00:00Z,2020-07-26T00:00:00Z,daily_precip_total,maximum,IMERG,paired_accepted,1.0,,exact UTC daily window and coverage >= 0.95
20200725_00,independent_test,heavy_rain,SA-09,48,2020-07-26T00:00:00Z,2020-07-27T00:00:00Z,daily_precip_total,weighted_mean,IMERG,paired_accepted,1.0,,exact UTC daily window and coverage >= 0.95
20200725_00,independent_test,heavy_rain,SA-09,48,2020-07-26T00:00:00Z,2020-07-27T00:00:00Z,daily_precip_total,spatial_p95,IMERG,paired_accepted,1.0,,exact UTC daily window and coverage >= 0.95
20200725_00,independent_test,heavy_rain,SA-09,48,2020-07-26T00:00:00Z,2020-07-27T00:00:00Z,daily_precip_total,maximum,IMERG,paired_accepted,1.0,,exact UTC daily window and coverage >= 0.95
20200725_00,independent_test,heavy_rain,SA-09,72,2020-07-27T00:00:00Z,2020-07-28T00:00:00Z,daily_precip_total,weighted_mean,IMERG,paired_accepted,1.0,,exact UTC daily window and coverage >= 0.95
20200725_00,independent_test,heavy_rain,SA-09,72,2020-07-27T00:00:00Z,2020-07-28T00:00:00Z,daily_precip_total,spatial_p95,IMERG,paired_accepted,1.0,,exact UTC daily window and coverage >= 0.95
20200725_00,independent_test,heavy_rain,SA-09,72,2020-07-27T00:00:00Z,2020-07-28T00:00:00Z,daily_precip_total,maximum,IMERG,paired_accepted,1.0,,exact UTC daily window and coverage >= 0.95
20200725_00,independent_test,heavy_rain,SA-14,24,2020-07-25T00:00:00Z,2020-07-26T00:00:00Z,daily_precip_total,weighted_mean,IMERG,paired_accepted,1.0,,exact UTC daily window and coverage >= 0.95
20200725_00,independent_test,heavy_rain,SA-14,24,2020-07-25T00:00:00Z,2020-07-26T00:00:00Z,daily_precip_total,spatial_p95,IMERG,paired_accepted,1.0,,exact UTC daily window and coverage >= 0.95
20200725_00,independent_test,heavy_rain,SA-14,24,2020-07-25T00:00:00Z,2020-07-26T00:00:00Z,daily_precip_total,maximum,IMERG,paired_accepted,1.0,,exact UTC daily window and coverage >= 0.95
20200725_00,independent_test,heavy_rain,SA-14,48,2020-07-26T00:00:00Z,2020-07-27T00:00:00Z,daily_precip_total,weighted_mean,IMERG,paired_accepted,1.0,,exact UTC daily window and coverage >= 0.95
20200725_00,independent_test,heavy_rain,SA-14,48,2020-07-26T00:00:00Z,2020-07-27T00:00:00Z,daily_precip_total,spatial_p95,IMERG,paired_accepted,1.0,,exact UTC daily window and coverage >= 0.95
20200725_00,independent_test,heavy_rain,SA-14,48,2020-07-26T00:00:00Z,2020-07-27T00:00:00Z,daily_precip_total,maximum,IMERG,paired_accepted,1.0,,exact UTC daily window and coverage >= 0.95
20200725_00,independent_test,heavy_rain,SA-14,72,2020-07-27T00:00:00Z,2020-07-28T00:00:00Z,daily_precip_total,weighted_mean,IMERG,paired_accepted,1.0,,exact UTC daily window and coverage >= 0.95
20200725_00,independent_test,heavy_rain,SA-14,72,2020-07-27T00:00:00Z,2020-07-28T00:00:00Z,daily_precip_total,spatial_p95,IMERG,paired_accepted,1.0,,exact UTC daily window and coverage >= 0.95
20200725_00,independent_test,heavy_rain,SA-14,72,2020-07-27T00:00:00Z,2020-07-28T00:00:00Z,daily_precip_total,maximum,IMERG,paired_accepted,1.0,,exact UTC daily window and coverage >= 0.95
